Total Entropy of dimension on intervals
Dimension:  	0, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	0, Interval: 	2, Total Entropy = 	3,75035244002906
Dimension:  	0, Interval: 	3, Total Entropy = 	6,56851867970278



Dimension:  	3, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	3, Interval: 	2, Total Entropy = 	3,93309679231693
Dimension:  	3, Interval: 	3, Total Entropy = 	6,86491999803229

Dimension:  	4, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	4, Interval: 	2, Total Entropy = 	3,94664942376437
Dimension:  	4, Interval: 	3, Total Entropy = 	4,8817788551467



Dimension:  	7, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	7, Interval: 	2, Total Entropy = 	3,65453627833875
Dimension:  	7, Interval: 	3, Total Entropy = 	6,28316772864904


Dimension:  	9, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	9, Interval: 	2, Total Entropy = 	3,7226450891605
Dimension:  	9, Interval: 	3, Total Entropy = 	5,5966970207051






Intervals: 
3	2	4	3	3	2	3	3	2	3	3	4	3	2	
Centers
Dimension: 1
0,2849
0,5433
0,7584
						Dimension: 4
0,2026
0,4128
0,6981
		Dimension: 5
0,2022
0,3773
1,0000
						Dimension: 8
0,3291
0,5668
0,7565
				Dimension: 10
0,0296
0,2479
0,5356
								
Number of classes: 
Dimension 0
0 = 74
1 = 124
2 = 72

Dimension 3
0 = 113
1 = 131
2 = 26

Dimension 4
0 = 150
1 = 119
2 = 1

Dimension 7
0 = 55
1 = 98
2 = 117

Dimension 9
0 = 142
1 = 94
2 = 34

*****************************************RESULTS***************************************************************
0,0000	0,0000	1,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,0000	0,0000	0,0000	1,0000		sum(1,0000)		0,3481	0,6519	0,0000		sum(1,0000)		0,0000	0,8873	0,1127		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,0000	0,5162	0,4838		sum(1,0000)		0,0000	1,0000	0,0000		sum(1,0000)		0,0000	0,0000	0,0000	1,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		
0,0000	0,0000	1,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		0,0000	0,4066	0,5934		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,0000	0,9648	0,0352		sum(1,0000)		0,0000	1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		
0,0000	0,8141	0,1859		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,0000	1,0000	0,0000	0,0000		sum(1,0000)		0,6175	0,3825	0,0000		sum(1,0000)		0,3945	0,6055	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,1366	0,8634	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,9141	0,0859	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		
0,0000	0,1359	0,8641		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,0000	0,0000	0,0000	1,0000		sum(1,0000)		0,4379	0,5621	0,0000		sum(1,0000)		0,3685	0,6315	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,9880	0,0120	0,0000		sum(1,0000)		0,0000	1,0000	0,0000		sum(1,0000)		0,0000	1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		
0,0000	0,0000	1,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,0000	1,0000	0,0000	0,0000		sum(1,0000)		0,7970	0,2030	0,0000		sum(1,0000)		0,2902	0,7098	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		0,7788	0,2212	0,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,9880	0,0120	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		
0,0000	0,0390	0,9610		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,0000	0,0000	0,0000	1,0000		sum(1,0000)		0,7970	0,2030	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,1687	0,8313	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,8403	0,1597	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		
0,0000	0,9109	0,0891		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,0000	0,0000	1,0000	0,0000		sum(1,0000)		0,3481	0,6519	0,0000		sum(1,0000)		0,4597	0,5403	0,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		0,1045	0,8955	0,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,6925	0,3075	0,0000		sum(1,0000)		0,0000	1,0000	0,0000		sum(1,0000)		0,0000	1,0000	0,0000	0,0000		sum(1,0000)		0,0000	1,0000	0,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		
0,0000	0,6203	0,3797		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,0000	0,0000	0,0000	1,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,6814	0,3186	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		0,1045	0,8955	0,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,2492	0,7508	0,0000		sum(1,0000)		0,0000	1,0000	0,0000		sum(1,0000)		0,0000	1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		
0,0000	0,5234	0,4766		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,0000	0,0000	0,0000	1,0000		sum(1,0000)		0,0000	0,9258	0,0742		sum(1,0000)		0,0000	0,9936	0,0064		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		0,0000	0,0041	0,9959		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,2492	0,7508	0,0000		sum(1,0000)		0,0000	1,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		
0,0000	0,2328	0,7672		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,0000	0,0000	0,0000	1,0000		sum(1,0000)		0,0000	0,5952	0,4048		sum(1,0000)		0,0000	0,5756	0,4244		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		0,0000	0,6481	0,3519		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		0,0000	1,0000	0,0000		sum(1,0000)		0,0000	0,0000	0,0000	1,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		
