Total Entropy of dimension on intervals
Dimension:  	0, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	0, Interval: 	2, Total Entropy = 	2,33944603026418
Dimension:  	0, Interval: 	3, Total Entropy = 	2,32581930022999
Dimension:  	0, Interval: 	4, Total Entropy = 	2,34385278647784

Dimension:  	1, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	1, Interval: 	2, Total Entropy = 	2,76917875064443
Dimension:  	1, Interval: 	3, Total Entropy = 	1,98557229924523
Dimension:  	1, Interval: 	4, Total Entropy = 	3,33693886560465

Dimension:  	2, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	2, Interval: 	2, Total Entropy = 	1,65317276189355
Dimension:  	2, Interval: 	3, Total Entropy = 	0,646220401163775
Dimension:  	2, Interval: 	4, Total Entropy = 	0,816014693625799

Dimension:  	3, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	3, Interval: 	2, Total Entropy = 	1,48711834620172
Dimension:  	3, Interval: 	3, Total Entropy = 	1,25857030876926
Dimension:  	3, Interval: 	4, Total Entropy = 	0,708921670066872
Dimension:  	3, Interval: 	5, Total Entropy = 	0,58674178516541
Dimension:  	3, Interval: 	6, Total Entropy = 	0,684385365714845



Intervals: 
3	3	3	5	3	
Centers
Dimension: 1
0,2778
0,3056
0,5278
		Dimension: 2
0,4583
0,5833
0,6667
		Dimension: 3
0,1525
0,6271
0,8305
		Dimension: 4
0,0417
0,0833
0,5417
0,6250
0,6667
		
Number of classes: 
*****************************************RESULTS***************************************************************
1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,5000	0,5000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		0,6667	0,3333	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
0,0000	1,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,9091	0,0909	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		0,0000	1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	1,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		0,0000	1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
