Dataset Size: 				178
Attributes: 					14
Input Attributes: 		13
Output Attributes: 		1
Output Intervals: 		3
Initial Error: 				0,601123595505618
Filename: 						wine.data
LingvisticAttribute: 	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
Dataset:
0,8421	0,1917	0,5722	0,2577	0,6196	0,6276	0,5738	0,2830	0,5931	0,3720	0,4553	0,9707	0,5613	0,0000	
0,5711	0,2055	0,4171	0,0309	0,3261	0,5759	0,5105	0,2453	0,2744	0,2645	0,4634	0,7802	0,5506	0,0000	
0,5605	0,3202	0,7005	0,4124	0,3370	0,6276	0,6118	0,3208	0,7571	0,3754	0,4472	0,6960	0,6469	0,0000	
0,8789	0,2391	0,6096	0,3196	0,4674	0,9897	0,6646	0,2075	0,5584	0,5563	0,3089	0,7985	0,8573	0,0000	
0,5816	0,3656	0,8075	0,5361	0,5217	0,6276	0,4958	0,4906	0,4448	0,2594	0,4553	0,6081	0,3260	0,0000	
0,8342	0,2016	0,5829	0,2371	0,4565	0,7897	0,6435	0,3962	0,4921	0,4667	0,4634	0,5788	0,8359	0,0000	
0,8842	0,2233	0,5829	0,2062	0,2826	0,5241	0,4599	0,3208	0,4953	0,3387	0,4390	0,8462	0,7218	0,0000	
0,7974	0,2787	0,6684	0,3608	0,5543	0,5586	0,4578	0,3396	0,2650	0,3217	0,4715	0,8462	0,7254	0,0000	
1,0000	0,1779	0,4332	0,1753	0,2935	0,6276	0,5570	0,3019	0,4953	0,3345	0,4878	0,5788	0,5471	0,0000	
0,7447	0,1206	0,4866	0,2784	0,3043	0,6897	0,5928	0,1698	0,4543	0,5068	0,4309	0,8352	0,5471	0,0000	
0,8079	0,2806	0,5027	0,3814	0,3804	0,6793	0,6287	0,1698	0,6215	0,3814	0,6260	0,6960	0,8787	0,0000	
0,8132	0,1462	0,5134	0,3196	0,2717	0,4207	0,4409	0,2453	0,3659	0,3174	0,5610	0,5678	0,7147	0,0000	
0,7158	0,1957	0,5615	0,2784	0,2065	0,5586	0,5105	0,3019	0,4416	0,3686	0,5447	0,5971	0,7432	0,0000	
0,9789	0,1957	0,5508	0,0412	0,2283	0,7310	0,7068	0,5660	0,7571	0,3515	0,6260	0,5348	0,6220	0,0000	
0,8816	0,2233	0,5455	0,0722	0,3478	0,8000	0,6962	0,3019	0,8044	0,5307	0,5854	0,6337	0,9051	0,0000	
0,6842	0,2115	0,7166	0,3402	0,4565	0,6448	0,5422	0,3208	0,3312	0,5137	0,6504	0,5897	0,7361	0,0000	
0,8605	0,2332	0,7273	0,4845	0,5435	0,6276	0,5907	0,3774	0,4921	0,4198	0,4797	0,5055	0,7147	0,0000	
0,7368	0,1640	0,6738	0,4845	0,4891	0,6793	0,6456	0,5094	0,4132	0,4539	0,5285	0,4762	0,6077	0,0000	
0,8316	0,1680	0,5989	0,3041	0,4130	0,8000	0,7574	0,3585	0,4574	0,6331	0,6098	0,5678	1,0000	0,0000	
0,6868	0,4664	0,6417	0,2371	0,5000	0,5931	0,5675	0,0755	0,3943	0,3259	0,3902	0,7656	0,4044	0,0000	
0,7974	0,1759	0,4920	0,2784	0,6087	0,6966	0,5970	0,2075	0,5331	0,3729	0,4959	0,8938	0,3581	0,0000	
0,5000	0,6047	0,6898	0,4124	0,3478	0,4931	0,4367	0,2264	0,4953	0,2747	0,4472	0,8242	0,3509	0,0000	
0,7053	0,2213	0,5348	0,3093	0,3370	0,5621	0,5359	0,2642	0,4038	0,2150	0,5122	1,0000	0,5399	0,0000	
0,4789	0,1700	0,6203	0,3711	0,2717	0,5172	0,4283	0,2453	0,3312	0,2261	0,4959	0,8645	0,5257	0,0000	
0,6500	0,2115	0,6684	0,4845	0,2826	0,5345	0,4789	0,2830	0,3943	0,1911	0,5203	0,9341	0,4044	0,0000	
0,5316	0,2589	0,9947	0,7423	0,5870	0,5690	0,4937	0,6415	0,4763	0,1962	0,5285	0,7070	0,3937	0,0000	
0,6211	0,2036	0,6738	0,2835	0,2500	0,6448	0,5485	0,3962	0,3281	0,3003	0,3577	0,7143	0,6541	0,0000	
0,5974	0,1937	0,4171	0,3299	0,2609	0,4897	0,3903	0,2642	0,2965	0,2278	0,4390	0,5495	0,7183	0,0000	
0,7474	0,2292	0,7701	0,4536	0,4022	0,6793	0,5549	0,4528	0,4259	0,2747	0,6260	0,7802	0,4544	0,0000	
0,7868	0,1858	0,4545	0,2784	0,2826	0,5759	0,4198	0,2453	0,4953	0,2918	0,4553	0,8498	0,5399	0,0000	
0,7105	0,1502	0,7166	0,6134	0,3370	0,6966	0,6139	0,3019	0,6215	0,3771	0,5772	0,5275	0,7183	0,0000	
0,6711	0,1818	0,5348	0,4381	0,3913	0,6483	0,6013	0,1698	0,4858	0,4795	0,4959	0,5897	0,8823	0,0000	
0,6974	0,2154	0,5348	0,3402	0,3696	0,4966	0,4958	0,5472	0,4921	0,2184	0,6098	0,5861	0,5078	0,0000	
0,7184	0,1561	0,7166	0,4588	0,6739	0,6793	0,5063	0,6981	0,2965	0,3515	0,6260	0,6337	0,6826	0,0000	
0,6526	0,2095	0,6898	0,4330	0,4348	0,4724	0,4620	0,3019	0,3565	0,2491	0,5041	0,5861	0,5827	0,0000	
0,6447	0,2115	0,5615	0,5103	0,3261	0,5931	0,5570	0,2453	0,4574	0,3259	0,4553	0,8059	0,4579	0,0000	
0,5921	0,1779	0,7914	0,2526	0,4348	0,5586	0,4937	0,3962	0,2997	0,2833	0,4959	0,5531	0,4294	0,0000	
0,5316	0,1798	0,6364	0,3814	0,3043	0,5069	0,4409	0,3019	0,3249	0,2534	0,5203	0,4542	0,5899	0,0000	
0,5368	0,1502	0,3957	0,2526	0,3043	0,4897	0,4852	0,2830	0,3028	0,2065	0,5691	0,5201	0,5292	0,0000	
0,8395	0,6423	0,6150	0,1340	0,6304	0,6966	0,5696	0,1321	0,5268	0,3259	0,3333	0,8278	0,3438	0,0000	
0,6658	0,1917	0,5080	0,2887	0,5109	0,7483	0,6224	0,3962	0,6088	0,4138	0,3821	0,7729	0,3688	0,0000	
0,6263	0,6126	0,4064	0,4227	0,2174	0,5069	0,4937	0,2642	0,3375	0,2560	0,3496	0,6337	0,5399	0,0000	
0,7500	0,2273	0,6578	0,2268	0,3370	0,7828	0,6793	0,0755	0,4069	0,3541	0,3252	0,8388	0,5827	0,0000	
0,5816	0,6403	0,4973	0,3557	0,3587	0,5724	0,4831	0,3585	0,3943	0,2628	0,2764	0,6337	0,2867	0,0000	
0,5316	0,2036	0,3957	0,3299	0,4022	0,6966	0,5612	0,2830	0,5110	0,3208	0,3252	0,7619	0,4330	0,0000	
0,8368	0,6522	0,5775	0,4278	0,4457	0,6448	0,4873	0,3208	0,2650	0,3379	0,3171	0,7546	0,5720	0,0000	
