Total Entropy of dimension on intervals
Dimension:  	0, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	0, Interval: 	2, Total Entropy = 	4,46803150694006
Dimension:  	0, Interval: 	3, Total Entropy = 	6,85437831895153

Dimension:  	1, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	1, Interval: 	2, Total Entropy = 	5,18003933144228
Dimension:  	1, Interval: 	3, Total Entropy = 	7,45632917341735

Dimension:  	2, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	2, Interval: 	2, Total Entropy = 	2,19720802923413
Dimension:  	2, Interval: 	3, Total Entropy = 	1,66120754401728
Dimension:  	2, Interval: 	4, Total Entropy = 	1,86908155597969

Dimension:  	3, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	3, Interval: 	2, Total Entropy = 	2,28023955819066
Dimension:  	3, Interval: 	3, Total Entropy = 	1,64498653679633
Dimension:  	3, Interval: 	4, Total Entropy = 	2,48982464750081



Intervals: 
3	3	4	4	3	
Centers
Dimension: 1
0,1996
0,4854
0,7639
		Dimension: 2
0,2438
0,4662
0,7326
		Dimension: 3
0,0786
0,4888
0,6456
0,8311
		Dimension: 4
0,0600
0,4722
0,6595
0,8822
		
Number of classes: 
Dimension 0
0 = 59
1 = 61
2 = 30

Dimension 1
0 = 47
1 = 79
2 = 24

Dimension 2
0 = 50
1 = 25
2 = 45
3 = 30

Dimension 3
0 = 50
1 = 36
2 = 35
3 = 29

*****************************************RESULTS***************************************************************
0,9209	0,0791	0,0000		sum(1,0000)		0,0000	0,4041	0,5959		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		0,2229	0,7771	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,8733	0,1267		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		0,0356	0,9644	0,0000		sum(1,0000)		0,9851	0,0149	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,2476	0,7524		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
0,6294	0,3706	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		0,9025	0,0975	0,0000	0,0000		sum(1,0000)		0,8423	0,1577	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,5605	0,4395		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		0,9434	0,0566	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,5605	0,4395		sum(1,0000)		0,9851	0,0149	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		0,4102	0,5898	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000	0,0000		sum(1,0000)		0,0356	0,9644	0,0000		sum(1,0000)		0,9851	0,0149	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
