Dataset Size: 				1484
Attributes: 					9
Input Attributes: 		8
Output Attributes: 		1
Output Intervals: 		10
Initial Error: 				0,669137466307278
Filename: 						yeast.data
LingvisticAttribute: 	0	0	0	0	2	3	0	0	10	
Dataset:
0,5800	0,5517	0,3291	0,1300	0,0000	0,0000	0,6575	0,2200	2,0000	
0,4300	0,6207	0,3418	0,2700	0,0000	0,0000	0,7260	0,2200	2,0000	
0,6400	0,5632	0,3544	0,1500	0,0000	0,0000	0,7260	0,2200	2,0000	
0,5800	0,3563	0,4557	0,1300	0,0000	0,0000	0,7397	0,2200	1,0000	
0,4200	0,3563	0,3418	0,5400	0,0000	0,0000	0,6575	0,2200	2,0000	
0,5100	0,3103	0,4430	0,1700	0,0000	1,0000	0,6712	0,2200	0,0000	
0,5000	0,4713	0,3418	0,6500	0,0000	0,0000	0,7260	0,2200	2,0000	
0,4800	0,3678	0,4810	0,2000	0,0000	0,0000	0,7945	0,3400	1,0000	
0,5500	0,4253	0,5696	0,3600	0,0000	0,0000	0,6712	0,2200	2,0000	
0,4000	0,2989	0,4937	0,1500	0,0000	0,0000	0,7945	0,3000	0,0000	
0,4300	0,2989	0,4177	0,2100	0,0000	0,0000	0,7260	0,2700	1,0000	
0,4200	0,2759	0,4810	0,2000	0,0000	0,0000	0,7123	0,2900	1,0000	
0,4000	0,3333	0,4557	0,3500	0,0000	0,0000	0,7260	0,2500	0,0000	
0,6000	0,3103	0,3924	0,4600	0,0000	0,0000	0,7260	0,2200	2,0000	
0,6600	0,4828	0,3038	0,1900	0,0000	0,0000	0,6301	0,2200	2,0000	
0,0000	0,3793	0,2911	0,5200	0,1100	1,0000	0,0000	0,5000	0,0000	
0,4700	0,2989	0,3671	0,1100	0,0000	0,0000	0,6712	0,4000	0,0000	
0,5800	0,3908	0,4177	0,1100	0,0000	0,0000	0,6986	0,2600	1,0000	
0,5000	0,2414	0,4304	0,2100	0,0000	0,0000	0,6712	0,2200	1,0000	
0,6100	0,5402	0,4304	0,2100	0,0000	0,0000	0,6849	0,2500	1,0000	
0,4500	0,3103	0,3671	0,1600	0,0000	0,0000	0,6849	0,2200	0,0000	
0,4300	0,3563	0,3418	0,2200	0,0000	0,0000	0,6986	0,2200	0,0000	
0,7300	0,5747	0,2658	0,3000	0,0000	0,0000	0,6712	0,2200	0,0000	
0,4300	0,4598	0,3924	0,1300	0,0000	0,0000	0,7534	0,2200	0,0000	
0,4600	0,4598	0,3924	0,1500	0,0000	0,0000	0,7945	0,2200	0,0000	
0,5100	0,4368	0,3924	0,5100	0,0000	0,0000	0,7397	0,2200	2,0000	
0,5900	0,3678	0,4051	0,1900	0,0000	0,0000	0,8082	0,2700	0,0000	
0,5700	0,3908	0,4937	0,1800	0,0000	0,0000	0,6986	0,2200	0,0000	
0,6300	0,6207	0,4557	0,2400	0,0000	0,0000	0,6712	0,2200	2,0000	
0,8000	0,8621	0,1899	0,3900	0,0000	0,0000	0,7671	0,3300	5,0000	
0,5300	0,4713	0,2785	0,1000	0,0000	0,0000	0,7808	0,3200	1,0000	
0,5100	0,4368	0,2785	0,8700	0,0000	0,0000	0,7123	0,2200	2,0000	
